metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm
remote_ee,1,absp,4.2953,3.1259,5.5831
remote_ee,2,absp,5.6289,3.2814,8.4970
remote_ee,3,absp,7.8156,4.8789,11.4317
remote_ee,4,absp,9.1348,5.0054,14.0431
remote_ee,5,absp,10.7670,6.2489,16.4689
remote_ee,6,absp,11.9584,6.5444,18.7876
remote_ee,7,absp,13.3702,7.8967,21.0709
remote_ee,8,absp,14.4156,8.3301,22.8303
remote_ee,9,absp,15.5903,9.4842,24.6162
remote_ee,10,absp,16.5001,9.9415,26.3562
remote_ee,11,absp,17.5109,10.8121,27.8829
remote_ee,12,absp,18.2942,11.4172,28.8235
remote_ee,13,absp,19.1113,11.8506,30.4516
remote_ee,14,absp,19.7303,12.3867,31.0239
remote_ee,15,absp,20.4617,12.8897,31.8695
remote_ee,16,absp,21.0394,13.1837,32.7101
remote_ee,17,absp,21.6353,13.6212,33.4923
remote_ee,18,absp,22.1039,14.0479,34.3315
remote_ee,19,absp,22.5753,14.1558,34.6510
remote_ee,20,absp,22.9693,14.4847,34.7461
remote_ee,21,absp,23.3572,14.8041,35.2906
remote_ee,22,absp,23.6687,15.0428,35.3130
remote_ee,23,absp,23.9667,14.8566,35.5574
remote_ee,24,absp,24.1849,15.4990,35.6569
remote_ee,1,sbsp,4.4946,3.3853,5.4759
remote_ee,2,sbsp,6.0313,3.3693,8.7797
remote_ee,3,sbsp,8.3398,5.2936,11.9337
remote_ee,4,sbsp,9.6941,5.2579,14.4717
remote_ee,5,sbsp,11.5211,6.6866,17.2560
remote_ee,6,sbsp,12.8028,7.1169,19.8204
remote_ee,7,sbsp,14.3193,8.3912,21.9877
remote_ee,8,sbsp,15.4298,8.7871,24.0190
remote_ee,9,sbsp,16.7538,9.9029,26.0538
remote_ee,10,sbsp,17.7785,10.3746,27.6401
remote_ee,11,sbsp,18.9051,11.2134,29.1729
remote_ee,12,sbsp,19.7186,11.6469,30.7476
remote_ee,13,sbsp,20.5470,12.5284,31.7511
remote_ee,14,sbsp,21.1536,12.8459,32.8253
remote_ee,15,sbsp,21.7525,13.5461,33.8461
remote_ee,16,sbsp,22.2343,13.7096,34.3079
remote_ee,17,sbsp,22.7178,14.3085,34.6559
remote_ee,18,sbsp,23.0658,14.6353,35.2699
remote_ee,19,sbsp,23.3005,14.9319,35.7511
remote_ee,20,sbsp,23.3454,14.8531,35.6573
remote_ee,21,sbsp,23.3335,14.8223,35.6151
remote_ee,22,sbsp,23.1868,14.7106,35.7639
remote_ee,23,sbsp,22.9992,14.5687,35.1620
remote_ee,24,sbsp,22.6607,14.3517,34.4383
operator_ee,1,absp,6.0260,4.0662,8.3114
operator_ee,2,absp,8.5845,5.9409,11.6536
operator_ee,3,absp,9.8619,6.7929,13.2147
operator_ee,4,absp,10.5827,7.3534,14.0319
operator_ee,5,absp,11.0984,7.6417,14.7369
operator_ee,6,absp,11.4924,7.9078,15.4423
operator_ee,7,absp,11.8757,8.0440,16.0808
operator_ee,8,absp,12.1741,8.2158,16.6864
operator_ee,9,absp,12.4457,8.4207,17.2171
operator_ee,10,absp,12.7123,8.6433,17.6831
operator_ee,11,absp,12.9720,8.7943,18.0696
operator_ee,12,absp,13.2329,8.9901,18.4789
operator_ee,13,absp,13.5046,9.1833,18.8879
operator_ee,14,absp,13.7425,9.3939,19.2107
operator_ee,15,absp,13.9760,9.6541,19.5477
operator_ee,16,absp,14.1916,9.7945,19.8688
operator_ee,17,absp,14.4023,9.9227,20.2199
operator_ee,18,absp,14.6076,10.0613,20.4913
operator_ee,19,absp,14.7967,10.1633,20.8246
operator_ee,20,absp,15.0026,10.3398,21.1133
operator_ee,21,absp,15.1902,10.3996,21.3220
operator_ee,22,absp,15.3566,10.5275,21.5016
operator_ee,23,absp,15.5148,10.7737,21.5771
operator_ee,24,absp,15.6445,10.9039,21.8462
operator_ee,1,sbsp,3.5373,2.0878,4.8167
operator_ee,2,sbsp,5.5940,3.2097,7.7759
operator_ee,3,sbsp,6.9857,4.0283,10.0064
operator_ee,4,sbsp,8.0088,4.6117,11.5405
operator_ee,5,sbsp,8.9560,5.4402,12.9676
operator_ee,6,sbsp,9.9499,6.0546,14.1174
operator_ee,7,sbsp,10.9063,6.8362,15.2545
operator_ee,8,sbsp,11.7160,7.3894,16.1550
operator_ee,9,sbsp,12.4096,7.8877,16.9612
operator_ee,10,sbsp,13.0294,8.3021,17.7660
operator_ee,11,sbsp,13.5729,8.8112,18.3484
operator_ee,12,sbsp,14.0613,9.2093,19.0150
operator_ee,13,sbsp,14.4896,9.6201,19.5401
operator_ee,14,sbsp,14.8800,9.9460,20.0665
operator_ee,15,sbsp,15.1646,10.1977,20.5460
operator_ee,16,sbsp,15.3790,10.3974,20.8219
operator_ee,17,sbsp,15.5629,10.3631,21.2085
operator_ee,18,sbsp,15.6428,10.2784,21.6370
operator_ee,19,sbsp,15.6282,10.2463,21.8736
operator_ee,20,sbsp,15.5687,10.1729,22.1971
operator_ee,21,sbsp,15.4553,10.2259,21.9593
operator_ee,22,sbsp,15.3764,10.1841,21.9123
operator_ee,23,sbsp,15.0944,9.9789,21.5887
operator_ee,24,sbsp,14.6804,9.6725,21.4455
track,1,absp,4.1815,1.8521,7.4098
