metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm
remote_ee,1,absp,4.3342,3.1297,5.6185
remote_ee,2,absp,5.6333,3.1863,8.5793
remote_ee,3,absp,7.9132,5.0218,11.5476
remote_ee,4,absp,9.3255,5.4248,13.8046
remote_ee,5,absp,11.1794,6.8659,16.5018
remote_ee,6,absp,12.5277,7.3036,19.1444
remote_ee,7,absp,14.1447,8.8692,21.6403
remote_ee,8,absp,15.4799,9.4044,23.2630
remote_ee,9,absp,16.9139,11.0550,25.1032
remote_ee,10,absp,18.1174,11.3568,27.0379
remote_ee,11,absp,19.3593,12.9123,28.5874
remote_ee,12,absp,20.4654,13.5243,30.4981
remote_ee,13,absp,21.5518,14.8395,31.9310
remote_ee,14,absp,22.4392,15.5372,33.4790
remote_ee,15,absp,23.3832,16.4372,34.6976
remote_ee,16,absp,24.2426,17.1114,35.2393
remote_ee,17,absp,25.1484,18.0103,36.0307
remote_ee,18,absp,25.9293,18.6232,36.3588
remote_ee,19,absp,26.6902,19.5555,36.3566
remote_ee,20,absp,27.3789,19.9028,37.1433
remote_ee,21,absp,28.0885,20.8415,37.6171
remote_ee,22,absp,28.6823,21.1964,38.6126
remote_ee,23,absp,29.2254,21.3259,38.7918
remote_ee,24,absp,29.6403,21.6628,39.5529
remote_ee,1,sbsp,4.5896,3.5863,5.5340
remote_ee,2,sbsp,6.3196,3.6466,9.0018
remote_ee,3,sbsp,8.8409,5.6981,12.1471
remote_ee,4,sbsp,10.4326,5.6394,15.2437
remote_ee,5,sbsp,12.3860,7.2938,18.1456
remote_ee,6,sbsp,13.9170,7.8793,20.8955
remote_ee,7,sbsp,15.5357,9.0192,23.1234
remote_ee,8,sbsp,16.7666,9.6994,25.1527
remote_ee,9,sbsp,18.1956,10.9924,27.1249
remote_ee,10,sbsp,19.4050,11.7074,29.2288
remote_ee,11,sbsp,20.7211,12.8670,30.8077
remote_ee,12,sbsp,21.7764,13.4222,32.3164
remote_ee,13,sbsp,22.8419,14.3398,33.8473
remote_ee,14,sbsp,23.7228,15.2310,35.1212
remote_ee,15,sbsp,24.6195,15.7854,35.7246
remote_ee,16,sbsp,25.3230,17.0244,36.7980
remote_ee,17,sbsp,26.0009,17.0904,36.4614
remote_ee,18,sbsp,26.6683,17.8689,37.3830
remote_ee,19,sbsp,27.1994,18.2225,37.7853
remote_ee,20,sbsp,27.5356,18.4378,37.8302
remote_ee,21,sbsp,27.8386,19.2903,38.0995
remote_ee,22,sbsp,27.9367,19.3134,38.0706
remote_ee,23,sbsp,27.8862,19.1201,37.8072
remote_ee,24,sbsp,27.7704,19.2795,36.9964
operator_ee,1,absp,6.4670,4.4088,8.5367
operator_ee,2,absp,9.3233,6.6920,11.9934
operator_ee,3,absp,10.8224,7.7956,13.5610
operator_ee,4,absp,11.6630,8.4864,14.3396
operator_ee,5,absp,12.2543,8.9411,15.1576
operator_ee,6,absp,12.7000,9.1709,15.9692
operator_ee,7,absp,13.1598,9.2789,16.6391
operator_ee,8,absp,13.5661,9.3447,17.3152
operator_ee,9,absp,13.9374,9.3903,17.8985
operator_ee,10,absp,14.3363,9.4648,18.3972
operator_ee,11,absp,14.6500,9.6450,18.8658
operator_ee,12,absp,14.9440,9.7662,19.3362
operator_ee,13,absp,15.2519,9.7088,19.7141
operator_ee,14,absp,15.5080,10.1098,20.1299
operator_ee,15,absp,15.7389,10.2686,20.5510
operator_ee,16,absp,15.9577,10.5298,20.9178
operator_ee,17,absp,16.1991,10.5385,21.3456
operator_ee,18,absp,16.4218,10.6171,21.7179
operator_ee,19,absp,16.6601,10.7225,22.0595
operator_ee,20,absp,16.9140,10.9057,22.2924
operator_ee,21,absp,17.1458,11.0799,22.4864
operator_ee,22,absp,17.3606,11.3010,22.7944
operator_ee,23,absp,17.5551,11.5332,23.0416
operator_ee,24,absp,17.7569,11.7504,23.2281
operator_ee,1,sbsp,3.5147,2.1006,4.8684
operator_ee,2,sbsp,5.6707,3.3931,7.7032
operator_ee,3,sbsp,7.1464,4.4217,10.0185
operator_ee,4,sbsp,8.2059,4.9591,11.6535
operator_ee,5,sbsp,9.2299,5.7566,13.4828
operator_ee,6,sbsp,10.3156,6.3628,15.1801
operator_ee,7,sbsp,11.3334,7.0976,16.2434
operator_ee,8,sbsp,12.2168,7.7967,17.6192
operator_ee,9,sbsp,12.9521,8.1679,18.7883
operator_ee,10,sbsp,13.6981,8.4865,19.7210
operator_ee,11,sbsp,14.2477,9.1151,20.6780
operator_ee,12,sbsp,14.7892,9.5061,21.0922
operator_ee,13,sbsp,15.2472,10.0614,21.4478
operator_ee,14,sbsp,15.7264,10.4829,21.9414
operator_ee,15,sbsp,16.1812,10.8315,22.4450
operator_ee,16,sbsp,16.5954,11.1748,23.0129
operator_ee,17,sbsp,16.9776,11.4222,23.4277
operator_ee,18,sbsp,17.2588,11.6119,23.6786
operator_ee,19,sbsp,17.4964,11.6617,24.0926
operator_ee,20,sbsp,17.7041,11.6064,24.3084
operator_ee,21,sbsp,17.8266,12.0426,24.4729
operator_ee,22,sbsp,17.9816,12.7122,24.2613
operator_ee,23,sbsp,17.9653,12.5539,24.4241
operator_ee,24,sbsp,17.9405,11.9699,24.1133
track,1,absp,4.3921,1.9440,7.7738
track,2,absp,6.1063,2.8265,11.1863
track,3,absp,6.8106,3.0158,12.4932
track,4,absp,7.2408,3.4292,13.5864
track,5,absp,7.5811,3.5925,13.5713
track,6,absp,7.9482,3.9304,14.3585
track,7,absp,8.3479,3.7899,15.7991
track,8,absp,8.7290,4.0089,16.8538
track,9,absp,9.0487,3.9005,18.1988
track,10,absp,9.3570,3.9787,19.2768
track,11,absp,9.6665,3.9658,20.5170
track,12,absp,9.9415,4.0197,21.1431
track,13,absp,10.2386,3.9942,21.4219
track,14,absp,10.4177,4.1635,21.8467
track,15,absp,10.5552,4.0802,22.4246
track,16,absp,10.6441,4.1590,23.0044
track,17,absp,10.7614,4.1952,23.0642
track,18,absp,10.8627,4.2003,23.8418
track,19,absp,10.9968,4.0948,24.1823
track,20,absp,11.1785,4.2357,24.1355
track,21,absp,11.3563,4.8429,24.7009
track,22,absp,11.5002,5.0826,24.8021
track,23,absp,11.6428,5.4563,24.1528
track,24,absp,11.8541,5.9346,24.0494
track,1,sbsp,2.1402,0.9626,3.7494
track,2,sbsp,3.6481,1.3736,6.6766
track,3,sbsp,4.9471,1.8494,8.9869
track,4,sbsp,6.0455,2.1987,11.0138
track,5,sbsp,7.0863,2.5098,12.9773
track,6,sbsp,7.9460,2.8068,14.9534
track,7,sbsp,8.7186,2.9421,16.3299
track,8,sbsp,9.5461,3.2798,17.9320
track,9,sbsp,10.3912,3.6311,20.0782
track,10,sbsp,11.2444,4.2017,21.3619
track,11,sbsp,11.8923,4.3864,23.6564
track,12,sbsp,12.5320,4.6400,24.9359
track,13,sbsp,13.1842,4.9274,26.4841
track,14,sbsp,13.7555,5.1042,27.3580
track,15,sbsp,14.2312,5.0962,28.3044
track,16,sbsp,14.4358,5.5655,28.1133
track,17,sbsp,14.5909,5.6168,27.1957
track,18,sbsp,14.5602,5.9867,26.7953
track,19,sbsp,14.4881,5.9435,25.8199
track,20,sbsp,14.2966,6.2097,26.0754
track,21,sbsp,13.9135,5.9675,25.8105
track,22,sbsp,13.2860,5.2567,24.6454
track,23,sbsp,12.3719,5.0552,23.7183
track,24,sbsp,11.4814,4.4405,23.3944
full_l2,1,absp,12.0000,8.8690,17.1562
full_l2,2,absp,17.7297,12.0151,26.9806
full_l2,3,absp,22.3031,15.3503,34.6572
full_l2,4,absp,26.2359,17.1659,39.3253
full_l2,5,absp,30.2570,19.2864,48.0106
full_l2,6,absp,34.2829,21.2790,54.8977
full_l2,7,absp,38.4855,23.2519,62.9492
