env_id,variant,variant_label,seed,delay,steps,success_rate,return_mean,return_std,episode_len_mean
FetchReach-v2,unseen,Unseen delay,0,10,2000,0.0,-50.0,0.0,60.0
FetchReach-v2,unseen,Unseen delay,0,10,4000,0.0,-50.0,0.0,60.0
FetchReach-v2,unseen,Unseen delay,0,10,6000,0.0,-50.0,0.0,60.0
FetchReach-v2,unseen,Unseen delay,0,10,8000,0.1,-47.0,7.483314773547883,60.0
FetchReach-v2,unseen,Unseen delay,0,10,10000,0.0,-50.0,0.0,60.0
FetchReach-v2,unseen,Unseen delay,0,10,12000,0.0,-49.8,0.6,60.0
FetchReach-v2,unseen,Unseen delay,0,10,14000,0.0,-49.7,0.9,60.0
FetchReach-v2,unseen,Unseen delay,0,10,16000,0.0,-50.0,0.0,60.0
FetchReach-v2,unseen,Unseen delay,0,10,18000,0.0,-50.0,0.0,60.0
FetchReach-v2,unseen,Unseen delay,0,10,20000,0.0,-50.0,0.0,60.0
FetchReach-v2,augmented_action,Augmented (+action buffer),0,10,2000,0.0,-50.0,0.0,60.0
FetchReach-v2,augmented_action,Augmented (+action buffer),0,10,4000,0.0,-50.0,0.0,60.0
FetchReach-v2,augmented_action,Augmented (+action buffer),0,10,6000,0.0,-49.4,1.2,60.0
FetchReach-v2,augmented_action,Augmented (+action buffer),0,10,8000,0.0,-49.6,0.9165151389911681,60.0
FetchReach-v2,augmented_action,Augmented (+action buffer),0,10,10000,0.0,-49.8,0.6,60.0
FetchReach-v2,augmented_action,Augmented (+action buffer),0,10,12000,0.0,-48.6,4.2,60.0
FetchReach-v2,augmented_action,Augmented (+action buffer),0,10,14000,0.0,-49.6,1.2,60.0
FetchReach-v2,augmented_action,Augmented (+action buffer),0,10,16000,0.0,-50.0,0.0,60.0
FetchReach-v2,augmented_action,Augmented (+action buffer),0,10,18000,0.0,-49.7,0.9,60.0
FetchReach-v2,augmented_action,Augmented (+action buffer),0,10,20000,0.0,-49.7,0.9,60.0
