metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm,n
remote_ee,1,off,16.3287,10.0539,25.5394,3020
remote_ee,2,off,16.7709,10.3158,26.7397,2960
remote_ee,3,off,16.7938,10.3929,26.5644,2900
remote_ee,4,off,16.7475,10.4559,26.5165,2840
remote_ee,5,off,16.7500,10.3759,26.5076,2780
remote_ee,6,off,16.7614,10.3475,26.6196,2720
remote_ee,7,off,16.7390,10.3052,26.7329,2660
remote_ee,8,off,16.7296,10.2593,26.9827,2600
remote_ee,9,off,16.7114,10.1968,27.1676,2540
remote_ee,10,off,16.6657,10.1691,27.2504,2480
remote_ee,11,off,16.5996,10.1638,27.4669,2420
remote_ee,12,off,16.5268,10.1444,27.4668,2360
remote_ee,13,off,16.4154,10.1299,27.3760,2300
remote_ee,14,off,16.3144,10.1248,27.0105,2240
remote_ee,15,off,16.2085,10.1187,26.7356,2180
remote_ee,16,off,16.1172,10.1216,26.5095,2120
remote_ee,17,off,16.0324,10.1210,26.0898,2060
remote_ee,18,off,15.9425,10.1188,25.8388,2000
remote_ee,19,off,15.8420,10.0941,25.4787,1940
remote_ee,20,off,15.7228,10.0833,25.0341,1880
remote_ee,21,off,15.6057,10.0769,24.6648,1820
remote_ee,22,off,15.4832,10.0644,24.2064,1760
remote_ee,23,off,15.3700,10.0481,23.6172,1700
remote_ee,24,off,15.2620,10.0448,22.9624,1640
remote_ee,1,on,16.9254,10.1691,27.0168,3020
remote_ee,2,on,25.7458,15.6964,38.4145,2960
remote_ee,3,on,22.2176,12.2411,34.5069,2900
remote_ee,4,on,22.1162,13.0531,32.9136,2840
remote_ee,5,on,18.0280,9.1164,30.6071,2780
remote_ee,6,on,17.5776,9.6807,28.8719,2720
remote_ee,7,on,14.6243,7.4875,27.0413,2660
remote_ee,8,on,14.5920,7.9382,25.0736,2600
remote_ee,9,on,12.3783,6.4161,23.1449,2540
remote_ee,10,on,11.6069,6.3245,20.8535,2480
remote_ee,11,on,10.3864,5.1871,20.9039,2420
remote_ee,12,on,10.2395,5.7209,18.9432,2360
remote_ee,13,on,8.7325,4.9133,16.7886,2300
remote_ee,14,on,9.2182,5.2205,16.7117,2240
remote_ee,15,on,8.6181,4.9986,16.1731,2180
remote_ee,16,on,8.3562,5.0167,15.1693,2120
remote_ee,17,on,7.3108,4.3716,12.8755,2060
remote_ee,18,on,7.5533,4.5550,12.7176,2000
remote_ee,19,on,7.1936,4.2518,13.0465,1940
remote_ee,20,on,7.4633,4.3325,12.8704,1880
remote_ee,21,on,7.0699,4.2419,12.6767,1820
remote_ee,22,on,7.1967,4.2843,13.4406,1760
remote_ee,23,on,6.7623,4.2566,12.0968,1700
remote_ee,24,on,6.5117,4.1228,10.2653,1640
operator_ee,1,off,13.0367,9.1878,18.5003,3020
operator_ee,2,off,13.4134,9.2563,18.6381,2960
operator_ee,3,off,13.4146,9.3247,18.4840,2900
operator_ee,4,off,13.3359,9.3124,18.1988,2840
operator_ee,5,off,13.2544,9.2401,18.0245,2780
operator_ee,6,off,13.1761,9.2188,17.9224,2720
operator_ee,7,off,13.1131,9.1923,17.8652,2660
operator_ee,8,off,13.0979,9.1872,17.8437,2600
operator_ee,9,off,13.0853,9.1829,17.8436,2540
operator_ee,10,off,13.1082,9.1825,17.8942,2480
operator_ee,11,off,13.1467,9.1844,17.9250,2420
operator_ee,12,off,13.2012,9.2023,17.9723,2360
operator_ee,13,off,13.2564,9.2111,17.9830,2300
operator_ee,14,off,13.3382,9.2205,18.0766,2240
operator_ee,15,off,13.4129,9.2355,18.1483,2180
operator_ee,16,off,13.5029,9.3079,18.2467,2120
operator_ee,17,off,13.5856,9.3711,18.4321,2060
operator_ee,18,off,13.6611,9.3914,18.5137,2000
operator_ee,19,off,13.7286,9.4052,18.5633,1940
operator_ee,20,off,13.7967,9.4208,18.7592,1880
operator_ee,21,off,13.8793,9.4439,18.8359,1820
operator_ee,22,off,13.9526,9.4906,18.9127,1760
operator_ee,23,off,14.0206,9.5239,19.0587,1700
operator_ee,24,off,14.0676,9.5308,19.0901,1640
operator_ee,1,on,13.2564,9.1925,19.0786,3020
operator_ee,2,on,22.2502,13.5937,35.9938,2960
operator_ee,3,on,23.0585,12.5466,37.6693,2900
operator_ee,4,on,20.8479,10.8758,34.4071,2840
operator_ee,5,on,18.7299,9.9510,31.3562,2780
operator_ee,6,on,16.4722,8.1717,29.3025,2720
operator_ee,7,on,14.5382,7.2119,27.5155,2660
operator_ee,8,on,12.9840,6.2719,25.1282,2600
operator_ee,9,on,11.8997,5.5582,23.7868,2540
operator_ee,10,on,10.2369,4.9203,20.7774,2480
operator_ee,11,on,9.8316,4.7380,20.2228,2420
operator_ee,12,on,8.8436,4.3468,19.0641,2360
operator_ee,13,on,8.1314,3.8748,16.7881,2300
operator_ee,14,on,7.8618,3.9196,16.8497,2240
operator_ee,15,on,7.6681,3.7352,16.2776,2180
operator_ee,16,on,6.8170,3.4325,13.8186,2120
operator_ee,17,on,5.9525,3.1089,11.7594,2060
operator_ee,18,on,5.8850,3.0285,11.5051,2000
operator_ee,19,on,6.0223,3.1236,11.7728,1940
operator_ee,20,on,6.0166,3.0918,11.9591,1880
operator_ee,21,on,5.9836,3.0163,12.0958,1820
operator_ee,22,on,5.7617,2.8407,12.1226,1760
operator_ee,23,on,5.2606,2.6644,11.0677,1700
operator_ee,24,on,4.8157,2.5275,8.9146,1640
track,1,off,6.2095,2.4958,18.0112,3020
track,2,off,5.7251,2.1508,19.2391,2960
track,3,off,5.7179,2.1234,19.8971,2900
track,4,off,5.7120,2.1525,20.4558,2840
track,5,off,5.6551,2.1599,20.6213,2780
track,6,off,5.5915,2.1589,20.5937,2720
track,7,off,5.5137,2.1698,20.5940,2660
track,8,off,5.4302,2.1750,20.4270,2600
track,9,off,5.3515,2.1776,20.0209,2540
track,10,off,5.2723,2.1698,19.8370,2480
track,11,off,5.1836,2.1596,19.5843,2420
track,12,off,5.0888,2.1595,19.2858,2360
track,13,off,4.9811,2.1519,18.8938,2300
track,14,off,4.8843,2.1519,18.2150,2240
track,15,off,4.7865,2.1491,17.3102,2180
track,16,off,4.6889,2.1452,16.3485,2120
track,17,off,4.5849,2.1353,15.6828,2060
track,18,off,4.4887,2.1353,15.1033,2000
track,19,off,4.4083,2.1378,14.0525,1940
track,20,off,4.3239,2.1378,13.4867,1880
track,21,off,4.2304,2.1353,12.6074,1820
track,22,off,4.1216,2.1286,11.5673,1760
track,23,off,4.0115,2.1092,10.5893,1700
track,24,off,3.9027,2.1053,10.0758,1640
track,1,on,6.1703,2.4988,18.0129,3020
track,2,on,19.4200,8.7922,33.3874,2960
track,3,on,12.2266,4.9758,22.1004,2900
track,4,on,10.4692,4.7871,18.0727,2840
track,5,on,7.5665,3.3469,13.2856,2780
track,6,on,7.7480,3.5505,12.9691,2720
track,7,on,6.3785,2.9157,10.9015,2660
track,8,on,6.4009,3.0075,10.4015,2600
track,9,on,5.2011,2.2330,9.1868,2540
track,10,on,5.1054,2.2666,8.6950,2480
track,11,on,4.7331,2.0021,8.0486,2420
track,12,on,4.7524,2.1742,7.8428,2360
track,13,on,4.1847,1.8826,7.0172,2300
track,14,on,4.4109,2.0132,7.1948,2240
track,15,on,4.2041,1.8893,7.0414,2180
track,16,on,4.0944,1.8617,6.7829,2120
track,17,on,3.6826,1.6482,6.2517,2060
track,18,on,3.6093,1.5862,6.2703,2000
track,19,on,3.6337,1.4728,6.1660,1940
track,20,on,3.5377,1.5518,6.0717,1880
track,21,on,3.3288,1.4108,5.7949,1820
track,22,on,3.2077,1.3576,5.6569,1760
track,23,on,3.0100,1.2848,5.3368,1700
track,24,on,3.0059,1.2339,5.2937,1640
full_l2,1,off,67.3078,32.4443,113.0992,3020
