metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm,n
remote_ee,1,off,3.7507,2.6931,5.0355,3013
remote_ee,2,off,5.8635,4.3820,7.4543,2953
remote_ee,3,off,7.0946,5.0213,9.3034,2893
remote_ee,4,off,7.6561,5.3771,10.2257,2833
remote_ee,5,off,7.7984,5.3423,10.7424,2773
remote_ee,6,off,7.8946,5.0841,11.2963,2713
remote_ee,7,off,8.3041,5.5849,11.6218,2653
remote_ee,8,off,8.9438,6.2488,12.1662,2593
remote_ee,1,on,3.8008,2.7196,5.0995,3013
remote_ee,2,on,9.5502,5.7039,14.4647,2953
remote_ee,3,on,8.1663,5.2486,12.3585,2893
remote_ee,4,on,7.9789,5.1152,11.6690,2833
remote_ee,5,on,7.6526,5.0919,11.0630,2773
remote_ee,6,on,8.3687,5.4875,12.1337,2713
remote_ee,7,on,7.3555,5.0621,10.2792,2653
remote_ee,8,on,6.4059,4.4920,8.7020,2593
operator_ee,1,off,3.6265,2.3672,5.4025,3013
operator_ee,2,off,5.1223,3.3460,7.5811,2953
operator_ee,3,off,5.9553,3.8592,8.7445,2893
operator_ee,4,off,6.5661,4.3448,9.4148,2833
operator_ee,5,off,7.1027,4.7387,10.0306,2773
operator_ee,6,off,7.5552,5.0998,10.7263,2713
operator_ee,7,off,7.9883,5.4115,11.3905,2653
operator_ee,8,off,8.4263,5.7039,12.0765,2593
operator_ee,1,on,3.6755,2.3749,5.6292,3013
operator_ee,2,on,9.1278,5.9101,14.0854,2953
operator_ee,3,on,8.2240,5.1197,12.4179,2893
operator_ee,4,on,8.3303,5.1046,12.4695,2833
operator_ee,5,on,7.6687,4.6999,11.6374,2773
operator_ee,6,on,7.3159,4.5580,11.0326,2713
operator_ee,7,on,6.4259,4.2095,9.2865,2653
operator_ee,8,on,5.7329,3.7757,8.1422,2593
track,1,off,3.1566,1.3809,5.5828,3013
track,2,off,3.4225,1.5031,6.1154,2953
track,3,off,3.3847,1.4788,6.0245,2893
track,4,off,3.3514,1.4502,5.9105,2833
track,5,off,3.2986,1.4378,5.7987,2773
track,6,off,3.2355,1.4354,5.5685,2713
track,7,off,3.1878,1.3907,5.4692,2653
track,8,off,3.1468,1.3735,5.3503,2593
track,1,on,3.1575,1.4012,5.5687,3013
track,2,on,12.2163,5.5916,20.9614,2953
track,3,on,10.1554,4.2862,18.2350,2893
track,4,on,9.9615,4.3681,17.5525,2833
track,5,on,9.0710,3.6899,15.6824,2773
track,6,on,9.0146,3.3200,16.7527,2713
track,7,on,6.6986,2.7535,11.8531,2653
track,8,on,5.2572,2.2691,9.5665,2593
full_l2,1,off,8.5268,6.1164,13.3416,3013
full_l2,2,off,12.9636,9.5515,19.6790,2953
full_l2,3,off,16.2899,11.6913,24.1064,2893
full_l2,4,off,18.7292,13.1390,28.6666,2833
full_l2,5,off,20.8844,14.1641,33.2760,2773
full_l2,6,off,23.0988,15.3390,38.1483,2713
full_l2,7,off,25.5466,17.0510,43.5271,2653
full_l2,8,off,28.0996,19.3305,48.5499,2593
full_l2,1,on,8.7878,6.1246,14.2376,3013
full_l2,2,on,20.0130,13.3044,28.6764,2953
full_l2,3,on,18.0159,12.3055,25.4017,2893
full_l2,4,on,18.2281,12.7877,25.5740,2833
full_l2,5,on,17.3719,12.4667,24.9870,2773
full_l2,6,on,18.1178,12.7462,25.5297,2713
full_l2,7,on,15.8449,11.4892,21.8278,2653
full_l2,8,on,14.4223,10.4085,19.8605,2593
