metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm,n
remote_ee,1,off,3.8168,2.7839,5.1378,1007
remote_ee,2,off,5.9555,4.5758,7.5807,987
remote_ee,3,off,7.2992,5.3414,9.4356,967
remote_ee,4,off,7.9377,5.8111,10.5668,947
remote_ee,5,off,8.1588,5.7382,11.2990,927
remote_ee,6,off,8.4014,5.5564,12.2418,907
remote_ee,7,off,8.8203,6.1343,12.6216,887
remote_ee,8,off,9.4470,6.6604,13.1419,867
remote_ee,1,on,3.8413,2.7834,5.1745,1007
remote_ee,2,on,8.9731,5.3509,13.4628,987
remote_ee,3,on,7.9265,5.1127,11.9814,967
remote_ee,4,on,7.7659,5.2055,11.3275,947
remote_ee,5,on,7.7338,5.0214,11.6042,927
remote_ee,6,on,8.6855,5.5905,12.5650,907
remote_ee,7,on,7.7094,5.2224,10.6475,887
remote_ee,8,on,6.4782,4.4299,8.7884,867
operator_ee,1,off,3.9103,2.5579,5.9066,1007
operator_ee,2,off,5.4828,3.6342,8.5094,987
operator_ee,3,off,6.3379,4.2443,9.7053,967
operator_ee,4,off,6.9046,4.7826,10.0752,947
operator_ee,5,off,7.4320,5.2280,10.5563,927
operator_ee,6,off,7.8779,5.5886,11.1401,907
operator_ee,7,off,8.3105,5.9098,11.7416,887
operator_ee,8,off,8.7684,6.1293,12.5862,867
operator_ee,1,on,3.9570,2.5553,6.1012,1007
operator_ee,2,on,7.8658,5.4497,11.1355,987
operator_ee,3,on,7.6062,4.7576,11.7442,967
operator_ee,4,on,7.5541,4.5798,11.5744,947
operator_ee,5,on,7.1748,4.4597,10.9723,927
operator_ee,6,on,7.6144,4.6916,11.4027,907
operator_ee,7,on,6.3774,4.0660,9.4178,887
operator_ee,8,on,5.6267,3.7216,8.0998,867
track,1,off,3.0932,1.2546,5.8374,1007
track,2,off,3.3662,1.3851,6.5346,987
track,3,off,3.3733,1.3965,6.4686,967
track,4,off,3.3796,1.4395,6.2967,947
track,5,off,3.3464,1.3739,6.2594,927
track,6,off,3.2975,1.3643,5.9943,907
track,7,off,3.2673,1.3434,5.8939,887
track,8,off,3.2406,1.3910,5.7225,867
track,1,on,3.1027,1.2576,5.9027,1007
track,2,on,10.6043,4.7924,18.1351,987
track,3,on,9.2277,4.0735,16.9067,967
track,4,on,8.9072,3.9243,16.4136,947
track,5,on,8.5150,3.3041,14.7612,927
track,6,on,9.4290,3.7615,17.3486,907
track,7,on,6.6557,2.5378,12.2518,887
track,8,on,4.9907,2.1581,9.2861,867
full_l2,1,off,9.8015,6.2737,16.0399,1007
full_l2,2,off,14.9789,10.0102,24.1357,987
full_l2,3,off,18.7891,12.2003,30.7514,967
full_l2,4,off,21.8356,13.7198,36.9690,947
full_l2,5,off,24.7577,14.6541,45.9746,927
full_l2,6,off,27.9034,16.1985,52.7694,907
full_l2,7,off,31.0569,17.5345,57.7038,887
full_l2,8,off,34.3717,19.9291,62.6898,867
full_l2,1,on,10.1054,6.2985,16.1803,1007
full_l2,2,on,18.3752,12.3014,25.9786,987
full_l2,3,on,17.9373,11.5437,24.7049,967
full_l2,4,on,17.6845,11.9699,25.0503,947
full_l2,5,on,17.4085,12.0998,25.9647,927
full_l2,6,on,18.8768,12.9756,26.4374,907
full_l2,7,on,16.7001,11.5111,23.1982,887
full_l2,8,on,14.9376,10.3516,20.4382,867
