metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm,n
remote_ee,1,off,4.0363,2.9514,5.2122,1014
remote_ee,2,off,5.0412,2.7670,7.7246,994
remote_ee,3,off,7.2465,4.4205,10.9176,974
remote_ee,4,off,8.1032,4.0405,13.2667,954
remote_ee,5,off,9.5810,5.4431,15.6842,934
remote_ee,6,off,10.2546,5.2958,17.3814,914
remote_ee,7,off,11.3702,6.2547,19.1323,894
remote_ee,8,off,11.9554,6.4440,20.9587,874
remote_ee,9,off,12.8757,7.0680,22.4783,854
remote_ee,10,off,13.4307,7.1178,23.6707,834
remote_ee,11,off,14.2513,7.5014,25.0465,814
remote_ee,12,off,14.8871,7.7968,26.8932,794
remote_ee,13,off,15.5887,8.1947,28.3362,774
remote_ee,14,off,16.1971,8.5805,29.3577,754
remote_ee,15,off,16.8265,8.8144,30.0135,734
remote_ee,16,off,17.3574,8.9975,30.6514,714
remote_ee,17,off,17.8238,9.3545,30.8201,694
remote_ee,18,off,18.2107,9.3470,31.4989,674
remote_ee,19,off,18.5511,9.9116,31.1948,654
remote_ee,20,off,18.8112,10.1544,31.4698,634
remote_ee,21,off,19.0581,10.4196,31.6460,614
remote_ee,22,off,19.2320,10.4283,31.5978,594
remote_ee,23,off,19.3554,11.0172,31.5259,574
remote_ee,24,off,19.4201,10.7704,30.7499,554
remote_ee,1,on,4.1117,2.9732,5.3145,1014
remote_ee,2,on,25.8133,5.9070,100.8447,994
remote_ee,3,on,6.2967,4.1583,9.7611,974
remote_ee,4,on,6.1101,4.0940,9.0819,954
remote_ee,5,on,5.0588,3.6636,6.8146,934
remote_ee,6,on,5.1871,3.7973,6.8884,914
remote_ee,7,on,4.7576,3.6051,5.9638,894
remote_ee,8,on,5.0014,3.7866,6.2984,874
remote_ee,9,on,4.5641,3.4352,5.7076,854
remote_ee,10,on,4.7423,3.5036,5.9954,834
remote_ee,11,on,4.4818,3.4089,5.5639,814
remote_ee,12,on,4.8061,3.7524,5.8866,794
remote_ee,13,on,4.4029,3.3374,5.4994,774
remote_ee,14,on,4.6710,3.6581,5.6703,754
remote_ee,15,on,4.5450,3.5443,5.5071,734
remote_ee,16,on,4.6638,3.6918,5.5844,714
remote_ee,17,on,4.5356,3.4880,5.4567,694
remote_ee,18,on,4.6853,3.6143,5.6533,674
remote_ee,19,on,4.6371,3.6296,5.6042,654
remote_ee,20,on,4.7460,3.8354,5.6963,634
remote_ee,21,on,4.6445,3.6626,5.5208,614
remote_ee,22,on,4.6990,3.7308,5.6304,594
