metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm,n
remote_ee,1,off,23.8942,10.1797,39.5439,253
remote_ee,2,off,27.9059,10.9868,46.1426,248
remote_ee,3,off,28.9670,11.0004,48.3462,243
remote_ee,4,off,29.8277,12.3010,49.4581,238
remote_ee,5,off,30.2209,12.2626,51.4712,233
remote_ee,6,off,30.6571,12.0970,53.1995,228
remote_ee,7,off,31.0219,11.8909,53.2842,223
remote_ee,8,off,31.2892,11.7178,54.1091,218
remote_ee,9,off,31.5403,11.5722,54.9268,213
remote_ee,10,off,31.7209,11.4164,56.6306,208
remote_ee,11,off,31.8955,11.2739,56.4126,203
remote_ee,12,off,31.8611,11.1499,56.3548,198
remote_ee,13,off,31.7989,11.0428,56.6630,193
remote_ee,14,off,31.5918,10.8811,57.2211,188
remote_ee,15,off,31.3514,10.8091,57.8572,183
remote_ee,16,off,30.9625,10.7551,58.4188,178
remote_ee,17,off,30.4544,10.6444,58.2524,173
remote_ee,18,off,29.6497,10.6337,57.6691,168
remote_ee,19,off,29.0498,10.6094,56.5462,163
remote_ee,20,off,28.0581,10.6044,55.3582,158
remote_ee,21,off,26.9900,10.6049,54.7569,153
remote_ee,22,off,25.8220,10.5953,52.1867,148
remote_ee,23,off,24.9392,10.5819,49.8247,143
remote_ee,24,off,23.8924,10.5652,46.2035,138
remote_ee,1,on,4.2574,2.5629,6.1249,253
remote_ee,2,on,7.4732,3.8231,11.3941,248
remote_ee,3,on,11.0466,4.6636,16.8591,243
remote_ee,4,on,13.9415,6.3505,21.5728,238
remote_ee,5,on,16.3736,7.1799,26.3478,233
remote_ee,6,on,18.4379,8.1175,29.5956,228
remote_ee,7,on,20.2741,9.6101,32.8901,223
remote_ee,8,on,22.0063,9.9218,35.0576,218
remote_ee,9,on,23.4552,10.8898,37.5396,213
remote_ee,10,on,24.9734,11.4884,39.1069,208
remote_ee,11,on,26.2781,12.0188,40.4478,203
remote_ee,12,on,27.5042,11.9210,41.9824,198
remote_ee,13,on,28.3406,12.9857,44.0194,193
remote_ee,14,on,29.0870,13.2306,44.8012,188
remote_ee,15,on,29.6919,13.2424,47.4392,183
remote_ee,16,on,30.2663,13.7016,49.3255,178
remote_ee,17,on,30.5677,13.7931,50.2377,173
remote_ee,18,on,30.7416,14.1522,51.9131,168
remote_ee,19,on,30.7901,14.5518,52.4867,163
remote_ee,20,on,31.1038,15.3708,53.6863,158
remote_ee,21,on,30.2653,15.1106,53.3723,153
remote_ee,22,on,29.0856,13.6719,53.7665,148
remote_ee,23,on,27.7764,13.4512,52.2403,143
remote_ee,24,on,25.4310,11.8842,48.2959,138
operator_ee,1,off,12.4068,8.1965,17.5473,253
operator_ee,2,off,12.0909,8.2786,16.9449,248
operator_ee,3,off,11.8210,8.2468,16.2144,243
operator_ee,4,off,11.7393,8.2190,16.1488,238
operator_ee,5,off,11.7016,8.2055,16.1219,233
operator_ee,6,off,11.7873,8.1972,16.1858,228
operator_ee,7,off,11.7438,8.1906,16.3054,223
operator_ee,8,off,11.7864,8.1882,16.2965,218
operator_ee,9,off,11.8550,8.1878,16.4972,213
operator_ee,10,off,11.9396,8.1890,16.5619,208
operator_ee,11,off,12.0290,8.1903,16.6525,203
operator_ee,12,off,12.1381,8.1915,16.6443,198
operator_ee,13,off,12.2398,8.1917,16.9814,193
operator_ee,14,off,12.3265,8.1938,17.0524,188
operator_ee,15,off,12.4024,8.1967,17.1028,183
operator_ee,16,off,12.4328,8.1991,17.1087,178
operator_ee,17,off,12.4623,8.2016,17.1162,173
operator_ee,18,off,12.4997,8.2049,17.1298,168
operator_ee,19,off,12.5470,8.2090,17.1007,163
operator_ee,20,off,12.6112,8.2122,17.0747,158
operator_ee,21,off,12.6763,8.2150,17.0375,153
operator_ee,22,off,12.7262,8.2179,16.6481,148
operator_ee,23,off,12.7566,8.2207,16.5123,143
operator_ee,24,off,12.7783,8.2235,16.5112,138
operator_ee,1,on,3.1281,0.4882,6.1639,253
operator_ee,2,on,5.2475,0.9575,9.6687,248
operator_ee,3,on,6.8958,1.6877,13.4467,243
operator_ee,4,on,8.3639,1.9348,17.5928,238
operator_ee,5,on,9.6704,2.8329,18.8448,233
operator_ee,6,on,11.0299,3.7611,20.7733,228
operator_ee,7,on,12.3369,4.3246,22.3168,223
operator_ee,8,on,13.5311,5.9984,23.2403,218
operator_ee,9,on,14.3631,6.3488,23.5426,213
operator_ee,10,on,15.1826,7.3744,24.3036,208
operator_ee,11,on,15.8657,7.7052,25.1598,203
operator_ee,12,on,16.2821,7.9108,26.1752,198
operator_ee,13,on,16.6433,8.2127,26.9235,193
operator_ee,14,on,16.8380,8.3010,27.1604,188
operator_ee,15,on,16.9356,8.3901,27.4058,183
operator_ee,16,on,17.1684,8.5007,27.1468,178
operator_ee,17,on,17.1932,8.7325,28.3399,173
