metric,horizon_k,cond,iqm_cm,iqr_lo_cm,iqr_hi_cm,n
remote_ee,1,off,175.3812,166.2703,180.8865,101
remote_ee,2,off,177.6706,169.8671,182.9291,99
remote_ee,3,off,178.0003,169.9875,183.0380,97
remote_ee,4,off,178.2679,170.7167,183.0650,95
remote_ee,5,off,178.5892,170.9783,183.0916,93
remote_ee,6,off,178.8472,171.5437,183.0984,91
remote_ee,7,off,179.1718,172.0573,183.1053,89
remote_ee,8,off,179.4173,172.9520,183.1060,87
remote_ee,9,off,179.7181,173.4454,183.1066,85
remote_ee,10,off,179.9437,174.6338,183.1269,83
remote_ee,11,off,180.2027,174.9147,183.1472,81
remote_ee,12,off,180.4063,175.4809,183.2043,79
remote_ee,13,off,180.6589,175.8530,183.2615,77
remote_ee,14,off,180.8491,176.7938,183.2659,75
remote_ee,15,off,181.0683,177.0241,183.2704,73
remote_ee,16,off,181.2397,177.7767,183.3181,71
remote_ee,17,off,181.4181,178.2505,183.3658,69
remote_ee,18,off,181.4649,178.0146,183.3705,67
remote_ee,19,off,181.5669,178.7262,183.3751,65
remote_ee,20,off,181.5129,177.8169,183.5092,63
remote_ee,21,off,181.4642,176.9075,183.6433,61
remote_ee,22,off,181.2752,176.3298,183.7501,59
remote_ee,23,off,181.1432,175.7521,183.8569,57
remote_ee,24,off,181.0137,175.3166,184.0442,55
remote_ee,1,on,5.3356,3.7663,8.3043,101
remote_ee,2,on,7.8023,4.4575,11.3672,99
remote_ee,3,on,11.7347,6.5575,17.2735,97
remote_ee,4,on,14.9817,7.2308,24.5734,95
remote_ee,5,on,19.1648,9.7492,33.4818,93
remote_ee,6,on,24.7267,9.2858,71.4739,91
remote_ee,7,on,32.0000,11.3631,109.0913,89
remote_ee,8,on,41.4634,11.5272,136.1618,87
remote_ee,9,on,50.7530,13.5486,143.9408,85
remote_ee,10,on,61.0886,16.5812,148.8315,83
remote_ee,11,on,71.0428,20.2524,150.6919,81
remote_ee,12,on,81.5712,22.3538,153.6230,79
remote_ee,13,on,92.4173,27.1544,154.7152,77
remote_ee,14,on,103.5709,32.4699,160.2380,75
remote_ee,15,on,115.3338,38.4029,163.6754,73
remote_ee,16,on,126.1353,63.3608,165.1273,71
remote_ee,17,on,136.5014,77.0668,166.5364,69
remote_ee,18,on,145.5077,83.6288,170.3095,67
remote_ee,19,on,155.5947,90.4970,172.9087,65
remote_ee,20,on,162.7098,139.5594,173.9546,63
remote_ee,21,on,166.1978,156.6035,177.0924,61
remote_ee,22,on,169.2080,160.5051,180.0904,59
remote_ee,23,on,172.2295,164.3523,181.8218,57
remote_ee,24,on,176.3901,165.8464,183.5057,55
operator_ee,1,off,195.7436,191.8134,198.0197,101
operator_ee,2,off,201.0650,197.3139,203.5001,99
operator_ee,3,off,201.4681,197.6397,203.7857,97
operator_ee,4,off,201.5951,197.9962,203.8122,95
operator_ee,5,off,201.7483,198.3187,203.8385,93
operator_ee,6,off,201.8659,198.6158,203.8424,91
operator_ee,7,off,202.0104,198.8741,203.8464,89
operator_ee,8,off,202.1210,199.5802,203.8504,87
operator_ee,9,off,202.2392,200.0736,203.8545,85
operator_ee,10,off,202.3272,200.5192,203.8565,83
