condition_id,condition_label,delay_family,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,iteration,train_steps,episode,kp,correction_scale,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
stochastic_0_10,"(0-10,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0-10,0-10)",0,10,0,10,900000,0,0,0,0.7592573860315994,0.2384058440442351,82,-33.67353507899679,-33.636089742416516,0.41065286681703406,0.018722668290138245,0.0023233022075146437,1.0
stochastic_0_10,"(0-10,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0-10,0-10)",0,10,0,10,900000,0,0,1,0.7592573860315994,0.2384058440442351,80,-27.525516726775095,-27.525516726775095,0.3440689590846887,0.008537601679563522,0.0028816405683755875,1.0
stochastic_0_10,"(0-10,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0-10,0-10)",0,10,0,10,900000,0,0,2,0.7592573860315994,0.2384058440442351,81,-35.203069121576846,-35.189870088361204,0.4346057916244055,0.013199033215641975,0.007567224092781544,1.0
stochastic_0_10,"(0-10,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0-10,0-10)",0,10,0,10,900000,0,0,3,0.7592573860315994,0.2384058440442351,83,-31.123431819374673,-31.098573268274777,0.3749811062575262,0.008286183699965477,0.0019296560203656554,1.0
stochastic_0_10,"(0-10,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0-10,0-10)",0,10,0,10,900000,0,0,4,0.7592573860315994,0.2384058440442351,83,-30.732993340003304,-30.708529766532592,0.3702770281928109,0.008154524490237236,0.001744318986311555,1.0
stochastic_0_10,"(0-10,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0-10,0-10)",0,10,0,10,900000,0,0,5,0.7592573860315994,0.2384058440442351,83,-31.001975022722036,-30.954825699795038,0.37351777135809683,0.015716440975666046,0.0022883883211761713,1.0
stochastic_0_10,"(0-10,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0-10,0-10)",0,10,0,10,900000,0,0,6,0.7592573860315994,0.2384058440442351,81,-25.97017921623774,-25.948766912566498,0.3206194964967622,0.021412303671240807,0.001257656724192202,1.0
stochastic_0_10,"(0-10,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0-10,0-10)",0,10,0,10,900000,0,0,7,0.7592573860315994,0.2384058440442351,83,-30.016370655968785,-29.974662579596043,0.36164301995143117,0.013902692124247551,0.005519308615475893,1.0
stochastic_0_10,"(0-10,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0-10,0-10)",0,10,0,10,901000,1,2880,0,0.9529108402926039,0.35364790210711,80,-31.669749980326742,-31.669749980326742,0.39587187475408425,0.015256269834935665,0.003148438408970833,1.0
stochastic_0_10,"(0-10,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0-10,0-10)",0,10,0,10,901000,1,2880,1,0.9529108402926039,0.35364790210711,82,-32.67575962981209,-32.636152857448906,0.3984848735342938,0.01980338618159294,0.0051460363902151585,1.0
