condition_id,condition_label,delay_family,variant,variant_label,delay_label,train_steps,metric,iqm,q1,q3,n
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",0,true_return,-72.12132175662555,-74.93126025097445,-68.82509602094069,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",2880,true_return,-54.85784216448277,-59.654461635276675,-52.241179414326325,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",5760,true_return,-50.89360048169814,-58.7399363508448,-45.61961005080957,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",8640,true_return,-52.09189996786881,-58.5155621971935,-46.546900093671866,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",11520,true_return,-50.452881252781175,-52.18931941897608,-47.76069977506995,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",14400,true_return,-49.47245623941611,-53.38889005454257,-44.78897450049408,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",17280,true_return,-49.081127413567934,-54.12386193824932,-44.831495848018676,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",20160,true_return,-49.14608435227516,-51.92688254034147,-45.81362293078564,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",23040,true_return,-48.418345689899674,-50.89441615715623,-45.30210238019936,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",25920,true_return,-48.07964140858288,-51.3254863913171,-44.42479590274161,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",28800,true_return,-48.13782856525601,-51.486376042012125,-45.247928097553086,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",31680,true_return,-50.05039084123564,-53.31061149726156,-46.59722906330717,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",34560,true_return,-48.24992157983555,-52.91722660098458,-45.30289093009196,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",37440,true_return,-48.08189635913004,-50.831024684011936,-45.49190197166172,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",40320,true_return,-46.938787057918184,-50.69755209138384,-43.51004913682118,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",43200,true_return,-47.429207513836445,-49.577495785517385,-42.993171349109616,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",46080,true_return,-47.71197186045659,-52.687659081071615,-44.76305181172211,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",48960,true_return,-47.103228440663464,-50.678490647580475,-42.90752537851222,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",51840,true_return,-44.989699163784586,-48.350399136776105,-41.97307677962817,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",54720,true_return,-47.3483634841347,-49.499881049850956,-46.05691160928109,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",57600,true_return,-48.63625515375558,-52.824831455014646,-46.38674400513992,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",60480,true_return,-46.78314408642473,-49.140810075215995,-44.72978739300743,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",63360,true_return,-47.09940771457817,-48.766615171334706,-45.795518925006036,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",66240,true_return,-47.251834801747464,-48.77609949046746,-44.776749419630505,24
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",69120,true_return,-47.34877778827407,-49.602778368163854,-44.45890256026178,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",0,true_return,-72.12132175662555,-74.93126025097445,-68.82509602094069,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",2880,true_return,-54.85784216448277,-59.654461635276675,-52.241179414326325,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",5760,true_return,-50.89360048169814,-58.7399363508448,-45.61961005080957,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",8640,true_return,-52.09189996786881,-58.5155621971935,-46.546900093671866,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",11520,true_return,-50.452881252781175,-52.18931941897608,-47.76069977506995,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",14400,true_return,-49.47245623941611,-53.38889005454257,-44.78897450049408,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",17280,true_return,-49.081127413567934,-54.12386193824932,-44.831495848018676,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",20160,true_return,-49.14608435227516,-51.92688254034147,-45.81362293078564,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",23040,true_return,-48.418345689899674,-50.89441615715623,-45.30210238019936,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",25920,true_return,-48.07964140858288,-51.3254863913171,-44.42479590274161,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",28800,true_return,-48.13782856525601,-51.486376042012125,-45.247928097553086,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",31680,true_return,-50.05039084123564,-53.31061149726156,-46.59722906330717,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",34560,true_return,-48.24992157983555,-52.91722660098458,-45.30289093009196,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",37440,true_return,-48.08189635913004,-50.831024684011936,-45.49190197166172,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",40320,true_return,-46.938787057918184,-50.69755209138384,-43.51004913682118,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",43200,true_return,-47.429207513836445,-49.577495785517385,-42.993171349109616,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",46080,true_return,-47.71197186045659,-52.687659081071615,-44.76305181172211,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",48960,true_return,-47.103228440663464,-50.678490647580475,-42.90752537851222,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",51840,true_return,-44.989699163784586,-48.350399136776105,-41.97307677962817,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",54720,true_return,-47.3483634841347,-49.499881049850956,-46.05691160928109,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",57600,true_return,-48.63625515375558,-52.824831455014646,-46.38674400513992,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",60480,true_return,-46.78314408642473,-49.140810075215995,-44.72978739300743,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",63360,true_return,-47.09940771457817,-48.766615171334706,-45.795518925006036,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",66240,true_return,-47.251834801747464,-48.77609949046746,-44.776749419630505,24
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",69120,true_return,-47.34877778827407,-49.602778368163854,-44.45890256026178,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",0,true_return,-91.47262213123031,-92.9196800366044,-89.70708008739166,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",2880,true_return,-72.39354520248405,-76.44004393136129,-67.75269704964012,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",5760,true_return,-71.26855918340152,-75.52540698926896,-69.13408159615938,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",8640,true_return,-72.5803100860988,-75.51110894046724,-69.79311176855117,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",11520,true_return,-71.03030438461185,-74.21210846677423,-68.4381949409144,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",14400,true_return,-70.17275841285785,-74.197564445436,-67.5370843084529,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",17280,true_return,-70.06117016884188,-73.01489177718759,-66.95364296156913,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",20160,true_return,-70.65940054350843,-74.07998796226457,-67.75303252157755,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",23040,true_return,-70.0331426379659,-72.97080676537007,-67.29231316410005,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",25920,true_return,-69.60305966010007,-72.45540086878464,-66.83366700611077,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",28800,true_return,-69.67369312451531,-72.95168752223253,-67.20190761378035,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",31680,true_return,-71.59336022660136,-75.09090170473792,-69.2534456307767,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",34560,true_return,-70.18819507265773,-72.6849019320216,-67.82241825340316,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",37440,true_return,-70.25893163355067,-73.74141490229522,-67.55699827475473,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",40320,true_return,-69.95052250517377,-74.0003586509265,-66.19341206824174,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",43200,true_return,-70.2923417481749,-72.88725159363821,-67.00193607551046,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",46080,true_return,-70.6546248679515,-73.33323539467528,-67.57370929559693,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",48960,true_return,-69.61487417912576,-73.43647518061334,-66.64820258517284,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",51840,true_return,-68.61564191415285,-72.2125446392456,-65.29071811318863,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",54720,true_return,-70.70643868506886,-73.89500741893426,-67.14360319916159,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",57600,true_return,-71.88778957192942,-73.94639244372956,-67.34960032999516,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",60480,true_return,-69.78333251399454,-72.47194248985033,-67.59611043892801,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",63360,true_return,-70.72079557754721,-72.97243414330296,-67.47447564196773,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",66240,true_return,-70.26094197970815,-73.19758279109374,-67.22995321277995,24
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",69120,true_return,-70.2620617755844,-72.41722523164935,-67.88495742017403,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",0,true_return,-122.06445307005197,-126.78894617967308,-116.38501002173871,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",2880,true_return,-73.70138339605182,-78.67420885292813,-66.12733160716016,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",5760,true_return,-71.20353524412106,-82.36058301571757,-58.65728707978269,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",8640,true_return,-71.89481058600359,-80.55955637432635,-57.47398706409149,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",11520,true_return,-66.50889898844373,-76.89161489857361,-60.860799067188054,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",14400,true_return,-66.0038326564536,-75.01138802664354,-58.823087345808744,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",17280,true_return,-65.55069930940711,-75.08480208273977,-56.57756609254284,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",20160,true_return,-66.3535666797543,-72.82265583239496,-57.88041169894859,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",23040,true_return,-64.81575299000058,-74.87482787203044,-60.84568960953038,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",25920,true_return,-64.02614424716255,-73.5146616359707,-58.427628456935054,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",28800,true_return,-62.01070849892373,-75.18524363834877,-56.18444690620527,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",31680,true_return,-64.82404130136517,-71.36930367420428,-58.414442364592105,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",34560,true_return,-62.89207788812928,-75.4014422330074,-56.916087455581874,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",37440,true_return,-62.91083277435973,-73.81959707010537,-57.831691382452846,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",40320,true_return,-60.9576686375755,-73.29717361507937,-54.92429114715196,24
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",43200,true_return,-61.80166571804633,-72.7760574221611,-55.08282335870899,24
