condition_id,condition_label,delay_family,variant,variant_label,delay_label,train_steps,metric,iqm,q1,q3,n
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",0,true_return,-74.19789231428877,-74.95729242195375,-73.43849220662378,2
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",320,true_return,-60.129963867366314,-60.53736341744661,-59.722564317286015,2
constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",640,true_return,-56.79033807734959,-57.46207572368439,-56.118600431014784,2
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",0,true_return,-74.19789231428877,-74.95729242195375,-73.43849220662378,2
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",320,true_return,-60.129963867366314,-60.53736341744661,-59.722564317286015,2
constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",640,true_return,-56.79033807734959,-57.46207572368439,-56.118600431014784,2
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",0,true_return,-92.37731665745378,-92.70518814213574,-92.04944517277181,2
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",320,true_return,-69.86048085056245,-70.86133311595768,-68.85962858516723,2
constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",640,true_return,-70.63057037070394,-71.55151992104948,-69.7096208203584,2
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",0,true_return,-126.03693065792322,-127.65779504925013,-124.41606626659632,2
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",320,true_return,-82.05543735530227,-83.18542200932279,-80.92545270128176,2
constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",640,true_return,-83.2859748750925,-84.35768079385161,-82.2142689563334,2
constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",0,true_return,-175.0812788400799,-177.03176825214177,-173.13078942801803,2
constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",320,true_return,-101.36097081191838,-102.76451444718987,-99.95742717664689,2
constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",640,true_return,-97.32907817699015,-98.47164559271187,-96.18651076126844,2
constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",0,true_return,-175.0812788400799,-177.03176825214177,-173.13078942801803,2
constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",320,true_return,-101.36097081191838,-102.76451444718987,-99.95742717664689,2
constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",640,true_return,-97.32907817699015,-98.47164559271187,-96.18651076126844,2
constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",0,true_return,-228.0943421088159,-228.263093682006,-227.92559053562582,2
constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",320,true_return,-136.71065370552242,-138.51621442381293,-134.9050929872319,2
constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",640,true_return,-104.9040963537991,-106.0978607069701,-103.71033200062811,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",0,true_return,-32.136859175981954,-32.82380366965663,-31.44991468230728,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",320,true_return,-21.877575696038548,-22.104482251830632,-21.650669140246464,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",640,true_return,-23.43901523691602,-23.92914495174773,-22.94888552208431,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",0,true_return,-31.486187656526454,-32.1474147720146,-30.82496054103831,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",320,true_return,-21.014479096105788,-21.296001223410713,-20.732956968800863,2
stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",640,true_return,-23.065215426962823,-23.559121091850102,-22.571309762075543,2
stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",0,true_return,-30.053213798557408,-30.70181292988127,-29.404614667233545,2
stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",320,true_return,-22.808570180437528,-23.073909938160796,-22.54323042271426,2
stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",640,true_return,-22.860727190389298,-23.310566712345462,-22.410887668433134,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",0,true_return,-32.507891896530055,-32.94984633434797,-32.06593745871214,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",320,true_return,-28.088349752128124,-28.77810933953151,-27.398590164724737,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",640,true_return,-25.937090654391795,-26.746396843111143,-25.12778446567245,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",0,true_return,-29.94016081141308,-30.410945324460045,-29.469376298366114,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",320,true_return,-21.261555635021068,-21.64566962531535,-20.877441644726787,2
stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",640,true_return,-25.35820874548517,-25.44671442208346,-25.269703068886884,2
stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",0,true_return,-27.912438436876982,-28.383937221136875,-27.44093965261709,2
stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",320,true_return,-22.716815743246116,-22.99103311257204,-22.44259837392019,2
