condition_id,condition_label,delay_family,variant,variant_label,delay_label,train_steps,metric,iqm,q1,q3,n
stochastic_0_40,"(0-40,0-40)",stochastic,unseen,Unseen delay,"(0-40,0-40)",0,true_return,-54.94612422690261,-61.412978005595505,-48.092192042269744,24
stochastic_0_40,"(0-40,0-40)",stochastic,unseen,Unseen delay,"(0-40,0-40)",2880,true_return,-51.425614332586214,-59.19791597034782,-44.841378648765385,24
stochastic_0_40,"(0-40,0-40)",stochastic,unseen,Unseen delay,"(0-40,0-40)",5760,true_return,-52.52034311400106,-57.95382893970236,-44.293787357979454,24
stochastic_0_40,"(0-40,0-40)",stochastic,unseen,Unseen delay,"(0-40,0-40)",8640,true_return,-54.65161924836381,-63.289507827721536,-44.97325635666493,24
stochastic_0_40,"(0-40,0-40)",stochastic,unseen,Unseen delay,"(0-40,0-40)",11520,true_return,-50.253003547239736,-55.99164622044191,-41.77088774018921,24
stochastic_0_40,"(0-40,0-40)",stochastic,unseen,Unseen delay,"(0-40,0-40)",14400,true_return,-56.02580311063988,-62.979693102883175,-49.25612084520981,24
stochastic_0_40,"(0-40,0-40)",stochastic,unseen,Unseen delay,"(0-40,0-40)",17280,true_return,-53.71874771589258,-58.71980828978121,-47.40261336416006,24
stochastic_0_40,"(0-40,0-40)",stochastic,unseen,Unseen delay,"(0-40,0-40)",20160,true_return,-51.86723940860247,-65.66445158375427,-42.21868246770464,24
stochastic_0_40,"(0-40,0-40)",stochastic,unseen,Unseen delay,"(0-40,0-40)",23040,true_return,-49.20864387605494,-55.51394984580111,-43.069961505010724,24
stochastic_0_40,"(0-40,0-40)",stochastic,unseen,Unseen delay,"(0-40,0-40)",25920,true_return,-53.46004511823412,-62.33561001904309,-46.840026144869626,24
stochastic_0_40,"(0-40,0-40)",stochastic,unseen,Unseen delay,"(0-40,0-40)",28800,true_return,-51.19876194959701,-57.92110386537388,-44.168462911387905,24
stochastic_0_40,"(0-40,0-40)",stochastic,unseen,Unseen delay,"(0-40,0-40)",31680,true_return,-55.610434412024915,-64.33154319343157,-45.16608932451345,24
stochastic_0_40,"(0-40,0-40)",stochastic,unseen,Unseen delay,"(0-40,0-40)",34560,true_return,-55.0585087746731,-64.45454559056088,-46.70239501877222,24
stochastic_0_40,"(0-40,0-40)",stochastic,unseen,Unseen delay,"(0-40,0-40)",37440,true_return,-50.63390048915365,-60.9158820072189,-45.12453058012761,24
