experiment,experiment_label,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,train_steps,episode,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,501000,1000,0,90,-212.6173152923584,-187.34688663482666,2.3624146143595377,2.527042865753174,2.2609670162200928,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,501000,1000,1,90,-195.8102011680603,-172.8368043899536,2.1756689018673367,2.297339677810669,2.087207078933716,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,501000,1000,2,90,-198.238525390625,-175.12311458587646,2.2026502821180554,2.3115410804748535,2.124070405960083,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,501000,1000,3,90,-191.23844480514526,-169.02735328674316,2.1248716089460586,2.22110915184021,2.0506598949432373,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,501000,1000,4,90,-173.13652086257935,-153.14356136322021,1.923739120695326,1.999295949935913,1.8729381561279297,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,502000,2000,0,90,-207.92182898521423,-184.5638391971588,2.310242544280158,2.335798978805542,2.2714555263519287,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,502000,2000,1,90,-220.9240665435791,-196.20531940460205,2.454711850484212,2.471874713897705,2.4147934913635254,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,502000,2000,2,90,-196.66453957557678,-174.7183859348297,2.185161550839742,2.194615364074707,2.1623497009277344,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,502000,2000,3,90,-180.49878752231598,-160.36720669269562,2.0055420835812887,2.013158082962036,1.980979323387146,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,502000,2000,4,90,-189.25579142570496,-168.05534434318542,2.1028421269522775,2.120044708251953,2.07614803314209,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,503000,3000,0,90,-196.87021493911743,-174.07190084457397,2.1874468326568604,2.2798314094543457,2.0741159915924072,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,503000,3000,1,90,-197.05057191848755,-173.87178230285645,2.189450799094306,2.3178789615631104,2.065730571746826,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,503000,3000,2,90,-193.4690239429474,-171.13587641716003,2.149655821588304,2.2333147525787354,2.0483345985412598,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,503000,3000,3,90,-208.84500455856323,-183.8826389312744,2.3205000506507028,2.496236562728882,2.1329703330993652,0.0
constant,Constant delay,unseen,Unseen delay,"(10,10)",10,10,10,10,503000,3000,4,90,-197.51302456855774,-173.9490864276886,2.1945891618728637,2.356393814086914,2.0049245357513428,0.0
