experiment,experiment_label,condition_id,condition_label,delay_family,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,train_steps,episode,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,501000,1000,0,90,-195.8099308013916,-174.44139623641968,2.17566589779324,2.1368534564971924,2.117457151412964,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,501000,1000,1,90,-178.88897705078125,-159.65612697601318,1.9876553005642361,1.9232850074768066,1.9145642518997192,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,501000,1000,2,90,-185.64457058906555,-165.50699830055237,2.0627174509896173,2.0137572288513184,2.0081865787506104,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,501000,1000,3,90,-178.70026671886444,-159.3780323266983,1.9855585190984937,1.9322234392166138,1.918916940689087,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,501000,1000,4,90,-164.63124465942383,-146.533109664917,1.829236051771376,1.8098134994506836,1.7775028944015503,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,502000,2000,0,90,-227.43270683288574,-199.7373752593994,2.5270300759209525,2.769533157348633,2.277336835861206,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,502000,2000,1,90,-236.16762781143188,-208.02710437774658,2.6240847534603544,2.8140523433685303,2.4147934913635254,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,502000,2000,2,90,-217.5190131664276,-190.94468760490417,2.416877924071418,2.6574325561523438,2.1623497009277344,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,502000,2000,3,90,-199.01025426387787,-174.71044433116913,2.211225047376421,2.429980993270874,1.9903990030288696,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,502000,2000,4,90,-211.23232555389404,-185.1634521484375,2.3470258394877117,2.6068873405456543,2.0789990425109863,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,503000,3000,0,90,-186.04406690597534,-165.7125244140625,2.0671562989552816,2.033154249191284,2.0171196460723877,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,503000,3000,1,90,-184.0308120250702,-163.73774552345276,2.044786800278558,2.029306650161743,2.0088229179382324,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,503000,3000,2,90,-177.58615064620972,-158.7024097442627,1.9731794516245524,1.8883740901947021,1.8778513669967651,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,503000,3000,3,90,-195.2507357597351,-173.25330066680908,2.1694526195526125,2.1997435092926025,2.1297147274017334,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,503000,3000,4,90,-187.73689341545105,-166.29819226264954,2.0859654823939007,2.1438701152801514,2.0049245357513428,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,504000,4000,0,90,-175.42195916175842,-157.4856734275818,1.9491328795750935,1.7936285734176636,1.747507095336914,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,504000,4000,1,90,-152.56017398834229,-136.87369179725647,1.6951130443149143,1.5686482191085815,1.5686482191085815,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,504000,4000,2,90,-181.19274139404297,-162.76106357574463,2.013252682156033,1.843167781829834,1.823972463607788,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,504000,4000,3,90,-174.3879590034485,-156.41712880134583,1.9376439889272055,1.7970830202102661,1.7970830202102661,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,504000,4000,4,90,-188.26403653621674,-169.18058669567108,2.091822628180186,1.9083449840545654,1.9083449840545654,0.0
