experiment,experiment_label,condition_id,condition_label,delay_family,variant,variant_label,delay_label,train_steps,metric,iqm,q1,q3,n
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",1000,true_return,-181.0779381195704,-185.64457058906555,-178.70026671886444,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",2000,true_return,-218.72801518440247,-227.43270683288574,-211.23232555389404,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",3000,true_return,-185.93725744883218,-187.73689341545105,-184.0308120250702,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",4000,true_return,-177.00088651974997,-181.19274139404297,-174.3879590034485,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",5000,true_return,-205.0731950600942,-212.2306523323059,-200.7746901512146,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",6000,true_return,-209.70725003878275,-218.46496534347534,-201.35006427764893,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",7000,true_return,-200.78072873751321,-209.16088008880615,-195.08573746681213,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",8000,true_return,-163.0282214085261,-173.38673663139343,-154.44492888450623,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",9000,true_return,-179.34302397569022,-188.8153966665268,-171.1640123128891,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10000,true_return,-196.68681395053864,-203.5606746673584,-191.39828753471375,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",1000,true_return,-152.9851636091868,-158.87440967559814,-149.14062762260437,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",2000,true_return,-173.13413866360983,-179.2479773759842,-165.99102771282196,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",3000,true_return,-139.7042755484581,-139.88815885782242,-139.44999408721924,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",4000,true_return,-193.39613342285156,-195.0027197599411,-191.71490716934204,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",5000,true_return,-242.18746387958527,-245.02097404003143,-238.24181866645813,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",6000,true_return,-292.6838007767995,-305.6323142051697,-271.26267898082733,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",7000,true_return,-242.4805156389872,-247.07601988315582,-237.02196621894836,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",8000,true_return,-220.93143574396768,-223.93310379981995,-217.45545172691345,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",9000,true_return,-150.30810089906058,-151.71439558267593,-149.22390323877335,5
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10000,true_return,-104.6265512406826,-108.51638974249363,-98.36190570890903,5
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",1000,true_return,-175.07510856787363,-181.19962084293365,-170.08622813224792,5
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",2000,true_return,-136.35397855440775,-148.0075603723526,-125.6524509191513,5
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",3000,true_return,-310.4242813587189,-323.0172312259674,-304.112833738327,5
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",4000,true_return,-108.01592284440994,-141.69648575782776,-87.99609154462814,5
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",5000,true_return,-394.1082058747609,-405.22608852386475,-382.2745475769043,5
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",6000,true_return,-290.07978264490765,-301.6326916217804,-276.55629205703735,5
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",7000,true_return,-111.77597349882126,-118.88819342851639,-107.22735637426376,5
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",8000,true_return,-188.50988388061523,-202.9253910779953,-173.20293855667114,5
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",9000,true_return,-112.41027571757634,-121.95035797357559,-106.05091434717178,5
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10000,true_return,-103.63237635294597,-105.83725708723068,-102.45300191640854,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",1000,true_return,-187.74637039502463,-192.75691747665405,-185.0193088054657,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",2000,true_return,-219.82869092623392,-226.86742496490479,-212.15912079811096,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",3000,true_return,-216.0914097627004,-219.10801196098328,-212.21924114227295,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",4000,true_return,-266.96188755830127,-271.641237616539,-262.1432662010193,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",5000,true_return,-316.2813692887624,-318.36659264564514,-313.43486404418945,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",6000,true_return,-260.7328100204468,-273.1384108066559,-254.0468807220459,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",7000,true_return,-251.665354291598,-266.22158455848694,-241.26832616329193,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",8000,true_return,-269.48997616767883,-275.14745593070984,-262.79082322120667,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",9000,true_return,-327.4556284745534,-337.5252673625946,-319.17647337913513,5
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",10000,true_return,-308.65965700149536,-311.0520851612091,-306.40133810043335,5
