experiment,experiment_label,condition_id,condition_label,delay_family,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,train_steps,episode,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,500200,200,0,90,-210.92912578582764,-186.12690830230713,2.3436569531758624,2.480221748352051,2.195157766342163,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,500200,200,0,90,-200.8149824142456,-177.8133521080017,2.231277582380507,2.3001630306243896,2.158897638320923,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10,10,10,10,500200,200,0,90,-209.0097315311432,-184.53554463386536,2.3223303503460353,2.447418689727783,2.195157766342163,0.0
constant,Constant delay,constant_15_15,"(15,15)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(15,15)",15,15,15,15,500200,200,0,95,-231.63258290290833,-192.15392088890076,2.438237714767456,2.631910800933838,2.195157766342163,0.0
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action,Augmented (+action buffer),"(20,20)",20,20,20,20,500200,200,0,100,-231.89879512786865,-183.71376609802246,2.3189879512786864,2.4092514514923096,2.195157766342163,0.0
constant,Constant delay,constant_20_20,"(20,20)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(20,20)",20,20,20,20,500200,200,0,100,-207.7907279729843,-167.61501824855804,2.077907279729843,2.0087854862213135,1.9919062852859497,0.0
constant,Constant delay,constant_20_20,"(20,20)",constant,unseen,Unseen delay,"(20,20)",20,20,20,20,500200,200,0,100,-227.20059370994568,-180.03708338737488,2.2720059370994568,2.35817551612854,2.195157766342163,0.0
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-10)",0,0,0,10,500200,200,0,82,-122.37644183635712,-120.20946395397186,1.4923956321506966,1.083488941192627,1.0747358798980713,0.0
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-10)",0,0,0,10,500200,200,0,82,-181.1147861480713,-176.59808826446533,2.208716904244772,2.2583489418029785,2.1706254482269287,0.0
stochastic,Stochastic observation delay,stochastic_0_10,"(0,0-10)",stochastic,unseen,Unseen delay,"(0,0-10)",0,0,0,10,500200,200,0,82,-130.3165522813797,-127.62600409984589,1.5892262473338987,1.3452740907669067,1.3086192607879639,0.0
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action,Augmented (+action buffer),"(0,0-20)",0,0,0,20,500200,200,0,82,-209.67291855812073,-203.64247488975525,2.556986811684399,3.0152218341827393,2.1984033584594727,0.0
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-20)",0,0,0,20,500200,200,0,82,-185.2167363166809,-180.45992851257324,2.2587406867887916,2.378403902053833,2.187023639678955,0.0
stochastic,Stochastic observation delay,stochastic_0_20,"(0,0-20)",stochastic,unseen,Unseen delay,"(0,0-20)",0,0,0,20,500200,200,0,82,-119.631163418293,-118.23939377069473,1.4589166270523537,0.6958848237991333,0.6958848237991333,0.0
