experiment,variant,variant_label,delay_label,x_value,act_min,act_max,obs_min,obs_max,seed,episode,episode_steps,episode_return,mean_distance,final_distance,min_distance,success,ever_success
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,0,80,-27.852110957494006,0.3481513869686751,0.019022636115550995,0.002037261612713337,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,1,80,-23.773982473590877,0.297174780919886,0.01679203100502491,0.0005646076751872897,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,2,80,-24.877844706643373,0.31097305883304216,0.015323728322982788,0.0025664649438112974,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,0,80,-23.773982473590877,0.297174780919886,0.01679203100502491,0.0005646076751872897,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,1,80,-24.877844706643373,0.31097305883304216,0.015323728322982788,0.0025664649438112974,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,1,2,80,-29.937394960783422,0.37421743700979276,0.006492895074188709,0.004885948728770018,1.0,1.0
constant_sweep,augmented_action,Augmented (+action buffer),"(0,0)",0.0,0,0,0,0,0,0,80,-27.852110957494006,0.3481513869686751,0.019022636115550995,0.002037261612713337,1.0,1.0
constant_sweep,augmented_action,Augmented (+action buffer),"(0,0)",0.0,0,0,0,0,0,1,80,-23.773982473590877,0.297174780919886,0.01679203100502491,0.0005646076751872897,1.0,1.0
constant_sweep,augmented_action,Augmented (+action buffer),"(0,0)",0.0,0,0,0,0,0,2,80,-24.877844706643373,0.31097305883304216,0.015323728322982788,0.0025664649438112974,1.0,1.0
constant_sweep,augmented_action,Augmented (+action buffer),"(0,0)",0.0,0,0,0,0,1,0,80,-23.773982473590877,0.297174780919886,0.01679203100502491,0.0005646076751872897,1.0,1.0
constant_sweep,augmented_action,Augmented (+action buffer),"(0,0)",0.0,0,0,0,0,1,1,80,-24.877844706643373,0.31097305883304216,0.015323728322982788,0.0025664649438112974,1.0,1.0
constant_sweep,augmented_action,Augmented (+action buffer),"(0,0)",0.0,0,0,0,0,1,2,80,-29.937394960783422,0.37421743700979276,0.006492895074188709,0.004885948728770018,1.0,1.0
constant_sweep,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0.0,0,0,0,0,0,0,80,-27.852110957494006,0.3481513869686751,0.019022636115550995,0.002037261612713337,1.0,1.0
constant_sweep,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0.0,0,0,0,0,0,1,80,-23.773982473590877,0.297174780919886,0.01679203100502491,0.0005646076751872897,1.0,1.0
constant_sweep,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0.0,0,0,0,0,0,2,80,-24.877844706643373,0.31097305883304216,0.015323728322982788,0.0025664649438112974,1.0,1.0
constant_sweep,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0.0,0,0,0,0,1,0,80,-23.773982473590877,0.297174780919886,0.01679203100502491,0.0005646076751872897,1.0,1.0
constant_sweep,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0.0,0,0,0,0,1,1,80,-24.877844706643373,0.31097305883304216,0.015323728322982788,0.0025664649438112974,1.0,1.0
constant_sweep,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0.0,0,0,0,0,1,2,80,-29.937394960783422,0.37421743700979276,0.006492895074188709,0.004885948728770018,1.0,1.0
constant_sweep,unseen,Unseen delay,"(5,5)",5.0,5,5,5,5,0,0,85,-57.4654032047838,0.6909748716170296,0.25349217653274536,0.007925066165626049,0.0,1.0
constant_sweep,unseen,Unseen delay,"(5,5)",5.0,5,5,5,5,0,1,85,-53.142090402543545,0.6447848480413941,0.33292433619499207,0.12432954460382462,0.0,0.0
constant_sweep,unseen,Unseen delay,"(5,5)",5.0,5,5,5,5,0,2,85,-54.51135490834713,0.6608462268815322,0.3321148753166199,0.11148320883512497,0.0,0.0
