experiment,variant,variant_label,delay_label,x_value,act_min,act_max,obs_min,obs_max,seed,episode,episode_steps,episode_return,mean_distance,final_distance,min_distance,success,ever_success
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,0,80,-23.16090564476326,0.28951132055954076,0.014200827106833458,0.0013454458676278591,1.0,1.0
constant_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,1,80,-19.27095152239781,0.2408868940299726,0.009890259243547916,0.0014725070213899016,1.0,1.0
constant_sweep,augmented_action,Augmented (+action buffer),"(0,0)",0.0,0,0,0,0,0,0,80,-23.16090564476326,0.28951132055954076,0.014200827106833458,0.0013454458676278591,1.0,1.0
constant_sweep,augmented_action,Augmented (+action buffer),"(0,0)",0.0,0,0,0,0,0,1,80,-19.27095152239781,0.2408868940299726,0.009890259243547916,0.0014725070213899016,1.0,1.0
constant_sweep,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0.0,0,0,0,0,0,0,80,-23.16090564476326,0.28951132055954076,0.014200827106833458,0.0013454458676278591,1.0,1.0
constant_sweep,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0.0,0,0,0,0,0,1,80,-19.27095152239781,0.2408868940299726,0.009890259243547916,0.0014725070213899016,1.0,1.0
constant_sweep,unseen,Unseen delay,"(5,5)",5.0,5,5,5,5,0,0,85,-67.21759092621505,0.8469215294674916,0.9541478157043457,0.01886589825153351,0.0,1.0
constant_sweep,unseen,Unseen delay,"(5,5)",5.0,5,5,5,5,0,1,85,-65.66818779706955,0.8326027330230265,1.020608901977539,0.19291840493679047,0.0,0.0
constant_sweep,augmented_action,Augmented (+action buffer),"(5,5)",5.0,5,5,5,5,0,0,85,-34.50018282583915,0.4073980999097009,0.025731133297085762,0.003366533201187849,1.0,1.0
constant_sweep,augmented_action,Augmented (+action buffer),"(5,5)",5.0,5,5,5,5,0,1,85,-29.48232381726848,0.348195745350163,0.022862907499074936,0.0008691778057254851,1.0,1.0
constant_sweep,augmented_action_delay,Augmented (+action buffer + delay values),"(5,5)",5.0,5,5,5,5,0,0,85,-34.50018282583915,0.4073980999097009,0.025731133297085762,0.003366533201187849,1.0,1.0
constant_sweep,augmented_action_delay,Augmented (+action buffer + delay values),"(5,5)",5.0,5,5,5,5,0,1,85,-29.48232381726848,0.348195745350163,0.022862907499074936,0.0008691778057254851,1.0,1.0
stochastic_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,0,80,-23.16090564476326,0.28951132055954076,0.014200827106833458,0.0013454458676278591,1.0,1.0
stochastic_sweep,unseen,Unseen delay,"(0,0)",0.0,0,0,0,0,0,1,80,-19.27095152239781,0.2408868940299726,0.009890259243547916,0.0014725070213899016,1.0,1.0
stochastic_sweep,augmented_action,Augmented (+action buffer),"(0,0)",0.0,0,0,0,0,0,0,80,-23.16090564476326,0.28951132055954076,0.014200827106833458,0.0013454458676278591,1.0,1.0
stochastic_sweep,augmented_action,Augmented (+action buffer),"(0,0)",0.0,0,0,0,0,0,1,80,-19.27095152239781,0.2408868940299726,0.009890259243547916,0.0014725070213899016,1.0,1.0
stochastic_sweep,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0.0,0,0,0,0,0,0,80,-23.16090564476326,0.28951132055954076,0.014200827106833458,0.0013454458676278591,1.0,1.0
stochastic_sweep,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0)",0.0,0,0,0,0,0,1,80,-19.27095152239781,0.2408868940299726,0.009890259243547916,0.0014725070213899016,1.0,1.0
stochastic_sweep,unseen,Unseen delay,"(0,0-5)",5.0,0,0,0,5,0,0,82,-25.324747429345734,0.3095436206714977,0.028914732858538628,0.001536994124762714,1.0,1.0
stochastic_sweep,unseen,Unseen delay,"(0,0-5)",5.0,0,0,0,5,0,1,80,-21.328662114217877,0.26660827642772345,0.013484466820955276,0.0013960821088403463,1.0,1.0
stochastic_sweep,augmented_action,Augmented (+action buffer),"(0,0-5)",5.0,0,0,0,5,0,0,82,-24.390255965059623,0.29805955776615384,0.025313885882496834,0.0033552704844623804,1.0,1.0
stochastic_sweep,augmented_action,Augmented (+action buffer),"(0,0-5)",5.0,0,0,0,5,0,1,80,-19.96735057112528,0.249591882139066,0.014650609344244003,0.0003781176055781543,1.0,1.0
stochastic_sweep,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-5)",5.0,0,0,0,5,0,0,82,-23.812985070282593,0.29093065058596707,0.02166413888335228,0.0034911150578409433,1.0,1.0
stochastic_sweep,augmented_action_delay,Augmented (+action buffer + delay values),"(0,0-5)",5.0,0,0,0,5,0,1,80,-19.931163489003666,0.2491395436125458,0.01626945100724697,0.00038699567085132003,1.0,1.0
state_constant,unseen,Unseen delay,"(5,5)",5.0,5,5,5,5,0,0,85,-67.21759092621505,0.8469215294674916,0.9541478157043457,0.01886589825153351,0.0,1.0
state_constant,unseen,Unseen delay,"(5,5)",5.0,5,5,5,5,0,1,85,-65.66818779706955,0.8326027330230265,1.020608901977539,0.19291840493679047,0.0,0.0
state_constant,augmented_action,Augmented (+action buffer),"(5,5)",5.0,5,5,5,5,0,0,85,-34.50018282583915,0.4073980999097009,0.025731133297085762,0.003366533201187849,1.0,1.0
state_constant,augmented_action,Augmented (+action buffer),"(5,5)",5.0,5,5,5,5,0,1,85,-29.48232381726848,0.348195745350163,0.022862907499074936,0.0008691778057254851,1.0,1.0
state_constant,augmented_action_delay,Augmented (+action buffer + delay values),"(5,5)",5.0,5,5,5,5,0,0,85,-34.50018282583915,0.4073980999097009,0.025731133297085762,0.003366533201187849,1.0,1.0
state_constant,augmented_action_delay,Augmented (+action buffer + delay values),"(5,5)",5.0,5,5,5,5,0,1,85,-29.48232381726848,0.348195745350163,0.022862907499074936,0.0008691778057254851,1.0,1.0
state_stochastic,unseen,Unseen delay,"(0,0-5)",5.0,0,0,0,5,0,0,82,-25.324747429345734,0.3095436206714977,0.028914732858538628,0.001536994124762714,1.0,1.0
