metric,env_id,experiment,comparison,variant,variant_label,series,train_delay,eval_delay,x_value,x_label,iqm,q1,q3,n
episode_return,FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,augmented_action,Augmented (+action buffer),Augmented (+action buffer),"(0,0)","(0,0)",0.0,Action,-1.3574643621314317,-1.7777086276328191,-1.1024976233602501,100
episode_return,FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,augmented_action,Augmented (+action buffer),Augmented (+action buffer),"(10,0)","(10,0)",10.0,Action,-4.7408253742009405,-7.094426403287798,-2.7524418581742793,100
episode_return,FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,augmented_action,Augmented (+action buffer),Augmented (+action buffer),"(20,0)","(20,0)",20.0,Action,-5.776866011256352,-12.413473495282233,-2.3852767790667713,100
episode_return,FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,augmented_action,Augmented (+action buffer),Augmented (+action buffer),"(30,0)","(30,0)",30.0,Action,-13.191237932536751,-26.368997322395444,-2.8531247664941475,100
episode_return,FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,augmented_action,Augmented (+action buffer),Augmented (+action buffer),"(40,0)","(40,0)",40.0,Action,-15.889681487786584,-32.196471261791885,-2.381938739796169,100
episode_return,FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,augmented_action_delay,Augmented (+action buffer + delay values),Augmented (+action buffer + delay values),"(0,0)","(0,0)",0.0,Action,-1.510401466320036,-1.9295972308609635,-1.09006077965023,100
episode_return,FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,augmented_action_delay,Augmented (+action buffer + delay values),Augmented (+action buffer + delay values),"(10,0)","(10,0)",10.0,Action,-5.598074003295042,-7.576919361948967,-3.2964627193287015,100
episode_return,FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,augmented_action_delay,Augmented (+action buffer + delay values),Augmented (+action buffer + delay values),"(20,0)","(20,0)",20.0,Action,-8.539740151385777,-16.36663824832067,-3.2272811306174845,100
episode_return,FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,augmented_action_delay,Augmented (+action buffer + delay values),Augmented (+action buffer + delay values),"(30,0)","(30,0)",30.0,Action,-12.590510382074863,-25.57386759109795,-3.399690177640877,100
episode_return,FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,augmented_action_delay,Augmented (+action buffer + delay values),Augmented (+action buffer + delay values),"(40,0)","(40,0)",40.0,Action,-14.11940100999549,-30.537700057961047,-2.5596638603601605,100
episode_return,FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,unseen,Unseen delay,Unseen delay,"(0,0)","(0,0)",0.0,Action,-1.5745551173946297,-2.2081496582832187,-0.8837465936085209,100
episode_return,FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,unseen,Unseen delay,Unseen delay,"(10,0)","(10,0)",10.0,Action,-3.951083389544365,-5.891171854571439,-2.243750788504258,100
episode_return,FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,unseen,Unseen delay,Unseen delay,"(20,0)","(20,0)",20.0,Action,-6.6670027060178105,-13.738825101871043,-2.2347124612424527,100
episode_return,FetchPush-RemotePDNorm-v0,action_vs_observation,action_delay_only,unseen,Unseen delay,Unseen delay,"(30,0)","(30,0)",30.0,Action,-13.035963394917198,-29.32627929467708,-3.3932622469728813,100
